plate_uid,proper_name,screw_sizes,size_range,drawer,drawer_sizes,drawer_size_detail,drawer_count,available_units,total_units,availability,range_status,out_case_details,drawer_out_case_details
DLT,VA 3.5mm Distal Lateral Tibia Plates,3.5mm,EXTRA LONG,D4,"16H L, 18H L, 20H L, 20 R, 18 R, 16 R","[{""label"": ""16H L"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""18H L"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""20H L"", ""size_range"": ""EXTRA LONG"", ""no_stock"": true}, {""label"": ""20 R"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""18 R"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""16 R"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}]",6,1,1,1/1,READY,[],[]
DLTII,2.7/3.5 Distal Lateral Tibia Plates,"2.7mm, 3.5mm",STANDARD,D4,"8H L, 10H L, 10H R, 8H R","[{""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": true}]",4,0,1,0/1,OUT OF STOCK,"[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DMH,VA 2.7/3.5mm Distal Medial Humeral Plates,"2.7mm, 3.5mm",STANDARD,D1,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,2,1/2,PARTIAL,"[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DMH,VA 2.7/3.5mm Distal Medial Humeral Plates,"2.7mm, 3.5mm",STANDARD,D2,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": true}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,2,1/2,PARTIAL,"[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
DMT,VA 2.7/3.5mm Distal Medial Tibia Plates II,"2.7mm, 3.5mm",STANDARD,D1,"6H L, 8H L, 10H L, 12H L, 12H R, 10H R, 8H R, 6H R","[{""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",8,0,2,0/2,OUT OF STOCK,"[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DMT,VA 2.7/3.5mm Distal Medial Tibia Plates II,"2.7mm, 3.5mm",STANDARD,D2,"6H L, 8H L, 10H L, 12H L, 12H R, 10H R, 8H R, 6H R","[{""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",8,0,2,0/2,OUT OF STOCK,"[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C034"", ""hospital"": ""HSR"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DMT,VA 2.7/3.5mm Distal Medial Tibia Plates II,"2.7mm, 3.5mm",LONG,D1,"14H L, 14H R","[{""label"": ""14H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
DPLH,VA 2.7/3.5mm Distal Posterior/Lateral Humeral Plates,"2.7mm, 3.5mm",STANDARD,D1,"14H L, 12H L, 10H L, 8H L, 6H L, 4H L, 4H R, 6H R, 8H R, 10H R, 12H R, 14H R","[{""label"": ""14H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",12,1,2,1/2,PARTIAL,"[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
DPLH,VA 2.7/3.5mm Distal Posterior/Lateral Humeral Plates,"2.7mm, 3.5mm",STANDARD,D2,"14H L, 12H L, 10H L, 8H L, 6H L, 4H L, 4H R, 6H R, 8H R, 10H R, 12H R, 14H R","[{""label"": ""14H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""14H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",12,1,2,1/2,PARTIAL,"[{""case_id"": ""C015"", ""hospital"": ""HRPZII"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
DPT,VA 3.5mm T-Type Distal Posterior Tibia Plates,3.5mm,STANDARD,D3,"3H L, 3H L, 5H R, 5H R","[{""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",4,1,1,1/1,READY,[],[]
DRVB,VA 2.4mm Distal Radius Volar Plates 9 holes head,2.4mm,STANDARD,D4,"3H L, 4H L, 4H R, 3H R","[{""label"": ""3H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",4,1,1,1/1,READY,[],[]
DRVL,2.4 DISTAL RADIUS VOLAR PLATES LONG,"2.4mm, 3.5mm",STANDARD,D4,"8H L, 10H L, 12H L, 12H R, 10H R, 8H R","[{""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,1,1/1,READY,[],[]
DRVN,VA 2.4mm Distal Radius Volar Plates 8 holes head,2.4mm,STANDARD,D4,"3 L, 4 L, 5 L, 5 R, 4 R, 3 R","[{""label"": ""3 L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4 L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5 L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5 R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4 R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""3 R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,1,1/1,READY,[],[]
DRVN,VA 2.4mm Distal Radius Volar Plates 8 holes head,2.4mm,LONG,D4,"8 L, 8 R","[{""label"": ""8 L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""8 R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
DRVN,VA 2.4mm Distal Radius Volar Plates 8 holes head,2.4mm,SMALL,D4,"2 L, 2 R","[{""label"": ""2 L"", ""size_range"": ""SMALL"", ""no_stock"": false}, {""label"": ""2 R"", ""size_range"": ""SMALL"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
DRVRB,VA 2.4mm Distal Radius Volar Plates III 7 holes head,2.4mm,STANDARD,D4,"4H L, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
DRVRB,VA 2.4mm Distal Radius Volar Plates III 7 holes head,2.4mm,LONG,D4,"7H L, 7H R","[{""label"": ""7H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
DRVRN,VA 2.4mm Distal Radius Volar Plates III 6 holes head,2.4mm,STANDARD,D4,"4H L, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",SHORT,D1,"3H L, 3H R","[{""label"": ""3H L"", ""size_range"": ""SHORT"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""SHORT"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",SHORT,D2,"3H L, 3H R","[{""label"": ""3H L"", ""size_range"": ""SHORT"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""SHORT"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",SHORT,D3,"3H L, 3H R","[{""label"": ""3H L"", ""size_range"": ""SHORT"", ""no_stock"": false}, {""label"": ""3H R"", ""size_range"": ""SHORT"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",STANDARD,D1,"7H L, 5H L, 5H R, 7H R","[{""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",4,3,3,3/3,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",STANDARD,D2,"7H L, 5H L, 5H R, 7H R","[{""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",4,3,3,3/3,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",STANDARD,D3,"7H L, 5H L, 5H R, 7H R","[{""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",4,3,3,3/3,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",LONG,D1,"9H L, 9H R","[{""label"": ""9H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",LONG,D2,"9H L, 9H R","[{""label"": ""9H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
DSC,VA 2.7/3.5mm Superior Anterior Clavicle Plates II,"2.7mm, 3.5mm",LONG,D3,"9H L, 9H R","[{""label"": ""9H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
FIBHOOK,Distal Lateral Fibular Hook Plates,"2.7mm, 3.5mm",STANDARD,D3,"4H L, 5H L, 5H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",4,1,1,1/1,READY,[],[]
FSP,VA 5.0mm Femur Straight Plates,5.0mm,SHORT,D5,6H,"[{""label"": ""6H"", ""size_range"": ""SHORT"", ""no_stock"": false}]",1,2,2,2/2,READY,[],[]
FSP,VA 5.0mm Femur Straight Plates,5.0mm,SHORT,D6,6H,"[{""label"": ""6H"", ""size_range"": ""SHORT"", ""no_stock"": false}]",1,2,2,2/2,READY,[],[]
FSP,VA 5.0mm Femur Straight Plates,5.0mm,STANDARD,D5,"8H, 10H, 12H","[{""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",3,1,2,1/2,PARTIAL,"[{""case_id"": ""C008"", ""hospital"": ""HSNZ"", ""surgery_date"": ""23/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C008"", ""hospital"": ""HSNZ"", ""surgery_date"": ""23/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
FSP,VA 5.0mm Femur Straight Plates,5.0mm,STANDARD,D6,"8H, 10H, 12H","[{""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",3,1,2,1/2,PARTIAL,"[{""case_id"": ""C008"", ""hospital"": ""HSNZ"", ""surgery_date"": ""23/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
FSP,VA 5.0mm Femur Straight Plates,5.0mm,LONG,D5,14H,"[{""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}]",1,2,2,2/2,READY,[],[]
FSP,VA 5.0mm Femur Straight Plates,5.0mm,LONG,D6,14H,"[{""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}]",1,2,2,2/2,READY,[],[]
FSP,VA 5.0mm Femur Straight Plates,5.0mm,EXTRA LONG,D5,"16h, 18h","[{""label"": ""16h"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""18h"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
METAI,VA 3.5mm Metaphyseal Plates,3.5mm,STANDARD,D1,"8H, 10H","[{""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
METAII,VA 3.5/4.5/5.0mm Metaphyseal Plates,"3.5mm, 4.5mm, 5.0mm",STANDARD,D6,"8H, 10H, 12H","[{""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",3,1,1,1/1,READY,[],[]
MSC,VA 3.5mm Superior Anterior Clavicle Plates MS Clavicle,3.5mm,STANDARD,D1,"8H L, 7H L, 6H L, 6H R, 7H R, 8H R","[{""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,3,3,3/3,READY,[],[]
MSC,VA 3.5mm Superior Anterior Clavicle Plates MS Clavicle,3.5mm,STANDARD,D2,"8H L, 7H L, 6H L, 6H R, 7H R, 8H R","[{""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,3,3,3/3,READY,[],[]
MSC,VA 3.5mm Superior Anterior Clavicle Plates MS Clavicle,3.5mm,STANDARD,D3,"8H L, 7H L, 6H L, 6H R, 7H R, 8H R","[{""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,3,3,3/3,READY,[],[]
OLEI,VA 3.5mm Proximal Dorsal Ulna Plates Placa Olecranon,3.5mm,STANDARD,D1,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,3,3,3/3,READY,[],[]
OLEI,VA 3.5mm Proximal Dorsal Ulna Plates Placa Olecranon,3.5mm,STANDARD,D2,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,3,3,3/3,READY,[],[]
OLEI,VA 3.5mm Proximal Dorsal Ulna Plates Placa Olecranon,3.5mm,STANDARD,D3,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,3,3,3/3,READY,[],[]
