plate_uid,proper_name,screw_sizes,size_range,drawer,drawer_sizes,drawer_size_detail,drawer_count,available_units,total_units,availability,range_status,out_case_details,drawer_out_case_details
OLEII,VA 3.5mm Proximal Dorsal Ulna Plates II Placa Olecranon,3.5mm,STANDARD,D3,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,2,2,2/2,READY,[],[]
OLEII,VA 3.5mm Proximal Dorsal Ulna Plates II Placa Olecranon,3.5mm,STANDARD,D4,"4H L, 6H L, 8H L, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,2,2,2/2,READY,[],[]
PFP,VA 4.5/5.0/6.5mm Proximal Lateral Femur Plates,"4.5mm, 5.0mm, 6.5mm",STANDARD,D4,"5H L, 7H L, 9H L, 11H L, 11H R, 9H R, 7H R, 5H R","[{""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": true}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H L"", ""size_range"": ""STANDARD"", ""no_stock"": true}, {""label"": ""11H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""11H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": true}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",8,0,1,0/1,OUT OF STOCK,"[{""case_id"": ""C032"", ""hospital"": ""PCMC"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C032"", ""hospital"": ""PCMC"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PHILOS,VA 3.5mm Proximal Lateral Humeral Plates II,3.5mm,STANDARD,D1,"3H, 4H, 5H","[{""label"": ""3H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",3,2,3,2/3,PARTIAL,"[{""case_id"": ""C021"", ""hospital"": ""HPKN"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C021"", ""hospital"": ""HPKN"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PHILOS,VA 3.5mm Proximal Lateral Humeral Plates II,3.5mm,STANDARD,D2,"3H, 4H, 5H","[{""label"": ""3H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",3,2,3,2/3,PARTIAL,"[{""case_id"": ""C021"", ""hospital"": ""HPKN"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
PHILOS,VA 3.5mm Proximal Lateral Humeral Plates II,3.5mm,STANDARD,D3,"3H, 4H, 5H","[{""label"": ""3H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",3,2,3,2/3,PARTIAL,"[{""case_id"": ""C021"", ""hospital"": ""HPKN"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
PHILOS,VA 3.5mm Proximal Lateral Humeral Plates II,3.5mm,LONG,D1,"6H, 8H","[{""label"": ""6H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,0,1,0/1,OUT OF STOCK,"[{""case_id"": ""C021"", ""hospital"": ""HPKN"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C021"", ""hospital"": ""HPKN"", ""surgery_date"": ""26/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PHILOS,VA 3.5mm Proximal Lateral Humeral Plates II,3.5mm,EXTRA LONG,STOCK,10H,"[{""label"": ""10H"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}]",1,1,1,1/1,READY,[],[]
PLTI,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,"3.5mm, 4.5mm, 5.0mm",STANDARD,D5,"4H L, 6H L, 8H L, 10H L, 12H L, 12H R, 10H R, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",10,1,2,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PLTI,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,"3.5mm, 4.5mm, 5.0mm",STANDARD,D6,"4H L, 6H L, 8H L, 10H L, 12H L, 12H R, 10H R, 8H R, 6H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""12H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",10,1,2,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
PLTI,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,"3.5mm, 4.5mm, 5.0mm",LONG,D5,"14H L, 14H R","[{""label"": ""14H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
PLTI,VA 3.5/4.5/5.0mm Proximal Lateral Tibia Plates,"3.5mm, 4.5mm, 5.0mm",EXTRA LONG,D4,"16H L, 16H R","[{""label"": ""16H L"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}, {""label"": ""16H R"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
PLTII,VA 4.5/5.0mm Proximal Lateral Tibia Plates II,"4.5mm, 5.0mm",STANDARD,D5,"5H L, 7H L, 9H L, 11H L, 11H R, 9H R, 7H R, 5H R","[{""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": true}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""11H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""11H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",8,1,2,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PLTII,VA 4.5/5.0mm Proximal Lateral Tibia Plates II,"4.5mm, 5.0mm",STANDARD,D6,"5H L, 7H L, 9H L, 11H L, 11H R, 9H R, 7H R, 5H R","[{""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""11H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""11H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": true}]",8,1,2,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
PMT,VA 4.5/5.0mm Proximal Medial Tibia Plates,"4.5mm, 5.0mm",STANDARD,D5,"4H L, 5H L, 6H L, 6H R, 5H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,2,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PMT,VA 4.5/5.0mm Proximal Medial Tibia Plates,"4.5mm, 5.0mm",STANDARD,D6,"4H L, 5H L, 6H L, 6H R, 5H R, 4H R","[{""label"": ""4H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H L"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""5H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H R"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",6,1,2,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
PMT,VA 4.5/5.0mm Proximal Medial Tibia Plates,"4.5mm, 5.0mm",LONG,D5,"8H L, 10H L, 10H R, 8H R","[{""label"": ""8H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""10H L"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""10H R"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""8H R"", ""size_range"": ""LONG"", ""no_stock"": false}]",4,1,1,1/1,READY,[],[]
PPMT,VA 3.5mm Posteromedial Proximal Tibia Plates,3.5mm,STANDARD,D1,"2H, 4H, 6H","[{""label"": ""2H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",3,1,2,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
PPMT,VA 3.5mm Posteromedial Proximal Tibia Plates,3.5mm,STANDARD,D3,"2H, 4H, 6H","[{""label"": ""2H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""4H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",3,1,2,1/2,PARTIAL,"[{""case_id"": ""C025"", ""hospital"": ""HKJ"", ""surgery_date"": ""25/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
RECON,VA 3.5mm Reconstruction Plate,3.5mm,STANDARD,D1,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
RECON,VA 3.5mm Reconstruction Plate,3.5mm,STANDARD,D2,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
RECON,VA 3.5mm Reconstruction Plate,3.5mm,STANDARD,D3,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
RECON,VA 3.5mm Reconstruction Plate,3.5mm,LONG,D1,"12H, 14H, 16H","[{""label"": ""12H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""16H"", ""size_range"": ""LONG"", ""no_stock"": false}]",3,3,3,3/3,READY,[],[]
RECON,VA 3.5mm Reconstruction Plate,3.5mm,LONG,D2,"12H, 14H, 16H","[{""label"": ""12H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""16H"", ""size_range"": ""LONG"", ""no_stock"": false}]",3,3,3,3/3,READY,[],[]
RECON,VA 3.5mm Reconstruction Plate,3.5mm,LONG,D3,"12H, 14H, 16H","[{""label"": ""12H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""16H"", ""size_range"": ""LONG"", ""no_stock"": false}]",3,3,3,3/3,READY,[],[]
TSP,VA 5.0mm Tibia Straight Plates,5.0mm,STANDARD,D5,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,0,2,0/2,OUT OF STOCK,"[{""case_id"": ""C008"", ""hospital"": ""HSNZ"", ""surgery_date"": ""23/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C011"", ""hospital"": ""HOSHAS"", ""surgery_date"": ""24/02/2026"", ""case_status"": ""PP"", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C008"", ""hospital"": ""HSNZ"", ""surgery_date"": ""23/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
TSP,VA 5.0mm Tibia Straight Plates,5.0mm,STANDARD,D6,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,0,2,0/2,OUT OF STOCK,"[{""case_id"": ""C008"", ""hospital"": ""HSNZ"", ""surgery_date"": ""23/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}, {""case_id"": ""C011"", ""hospital"": ""HOSHAS"", ""surgery_date"": ""24/02/2026"", ""case_status"": ""PP"", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C011"", ""hospital"": ""HOSHAS"", ""surgery_date"": ""24/02/2026"", ""case_status"": ""PP"", ""from_stock"": false, ""requested_drawer"": null}]"
TSP,VA 5.0mm Tibia Straight Plates,5.0mm,LONG,D5,"11H, 12H","[{""label"": ""11H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""12H"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
TSP,VA 5.0mm Tibia Straight Plates,5.0mm,EXTRA LONG,D5,14H,"[{""label"": ""14H"", ""size_range"": ""EXTRA LONG"", ""no_stock"": false}]",1,1,1,1/1,READY,[],[]
TUBULAR,VA 3.5mm 1/3 Tubular Plates,"3.5mm, 3.5mm, 4.5mm, 5.0mm",STANDARD,D1,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
TUBULAR,VA 3.5mm 1/3 Tubular Plates,"3.5mm, 3.5mm, 4.5mm, 5.0mm",STANDARD,D2,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
TUBULAR,VA 3.5mm 1/3 Tubular Plates,"3.5mm, 3.5mm, 4.5mm, 5.0mm",STANDARD,D3,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
TUBULAR,VA 3.5mm 1/3 Tubular Plates,3.5mm,LONG,D1,"12H, 14H","[{""label"": ""12H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
TUBULAR,VA 3.5mm 1/3 Tubular Plates,3.5mm,LONG,D2,"12H, 14H","[{""label"": ""12H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
TUBULAR,VA 3.5mm 1/3 Tubular Plates,3.5mm,LONG,D3,"12H, 14H","[{""label"": ""12H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,3,3,3/3,READY,[],[]
URS,VA 3.5mm Ulna Radius Straight Plates,3.5mm,STANDARD,D1,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]","[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]"
URS,VA 3.5mm Ulna Radius Straight Plates,3.5mm,STANDARD,D2,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
URS,VA 3.5mm Ulna Radius Straight Plates,3.5mm,STANDARD,D3,"6H, 7H, 8H, 9H, 10H","[{""label"": ""6H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""7H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""8H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""9H"", ""size_range"": ""STANDARD"", ""no_stock"": false}, {""label"": ""10H"", ""size_range"": ""STANDARD"", ""no_stock"": false}]",5,2,3,2/3,PARTIAL,"[{""case_id"": ""C017"", ""hospital"": ""HTAR"", ""surgery_date"": ""24/02/2026"", ""case_status"": """", ""from_stock"": false, ""requested_drawer"": null}]",[]
URS,VA 3.5mm Ulna Radius Straight Plates,3.5mm,LONG,D1,"12H, 14H","[{""label"": ""12H"", ""size_range"": ""LONG"", ""no_stock"": false}, {""label"": ""14H"", ""size_range"": ""LONG"", ""no_stock"": false}]",2,1,1,1/1,READY,[],[]
